Concepticon_ID,source_form_id,Value,Form,Segments,Comment,notes
,iecor_305-28-1,,,m o ʁ e ʁ,,IPA from Wiktionary (pt)
,iecor_305-29-1,,,k a v a ʁ,,IPA from Wiktionary (pt)
,iecor_305-30-1,,,s u ʒ u,,IPA from Wiktionary (pt)
,iecor_305-224-1,,,f a z e ʁ,,IPA from Wiktionary (pt)
,iecor_305-31-1,,,k a ʃ o ʁ u,,IPA from Wiktionary (pt)
,iecor_305-32-1,,,b e b e ʁ,,IPA from Wiktionary (pt)
,iecor_305-33-1,,,s e k u,,IPA from Wiktionary (pt)
,iecor_305-35-1,,,p ɔ,,IPA from Wiktionary (pt)
,iecor_305-36-1,,,o ɾ e ʎ ɐ,,IPA from Wiktionary (pt)
,iecor_305-37-1,,,t ɛ ʁ ɐ,,IPA from Wiktionary (pt)
,iecor_305-38-1,,,k o m e ʁ,,IPA from Wiktionary (pt)
,iecor_305-39-1,,,o v u,,IPA from Wiktionary (pt)
,iecor_305-40-1,,,o ʎ u,,IPA from Wiktionary (pt)
,iecor_305-41-1,,,k ai ʁ,,IPA from Wiktionary (pt)
,iecor_305-42-1,,,l õ ʒ i,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-46-1,,,p ẽ n ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-48-1,,,l u t a ʁ,,IPA from Wiktionary (pt)
,iecor_305-50-1,,,f o ɡ u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-51-1,,,p e j ʃ i,,IPA from Wiktionary (pt)
,iecor_305-52-1,,,s ĩ k u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-55-1,,,f l o ʁ,,IPA from Wiktionary (pt)
,iecor_305-211-1,,,m o s k ɐ,,IPA from Wiktionary (pt)
,iecor_305-56-1,,,v oa ʁ,,IPA from Wiktionary (pt)
,iecor_305-57-1,,,n e v ue j ɾ u,,IPA from Wiktionary (pt)
,iecor_305-58-1,,,p ɛ,,IPA from Wiktionary (pt)
,iecor_305-203-1,,,f l o ɾ ɛ s t ɐ,,IPA from Wiktionary (pt)
,iecor_305-59-1,,,k w a t ɾ u,,IPA from Wiktionary (pt)
,iecor_305-60-1,,,ʒ e l a ʁ,,IPA from Wiktionary (pt)
,iecor_305-61-1,,,f ɾ u t ɐ,,IPA from Wiktionary (pt)
,iecor_305-62-1,,,ʃ e j u,,IPA from Wiktionary (pt)
,iecor_305-63-1,,,d a ʁ,,IPA from Wiktionary (pt)
,iecor_305-218-1,,,i ʁ,,IPA from Wiktionary (pt)
,iecor_305-64-1,,,b õ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-65-1,,,ɡ ɾ ɐ̃ m ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-66-1,,,v e ʁ d ͡ ʒ i,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-225-1,,,m oe ʁ,,IPA from Wiktionary (pt)
,iecor_305-68-1,,,k a b e l u,,IPA from Wiktionary (pt)
,iecor_305-69-1,,,m ɐ̃ w̃,,IPA from Wiktionary (pt)
,iecor_305-216-1,,,d u ɾ u,,IPA from Wiktionary (pt)
,iecor_305-71-1,,,k a b e s ɐ,,IPA from Wiktionary (pt)
,iecor_305-72-1,,,o w v i ʁ,,IPA from Wiktionary (pt)
,iecor_305-73-1,,,k o ɾ a s ɐ̃ w̃,,IPA from Wiktionary (pt)
,iecor_305-74-1,,,p e z a d u,,IPA from Wiktionary (pt)
,iecor_305-222-1,,,i s k õ d e ʁ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-76-1,,,b a t e ʁ,,IPA from Wiktionary (pt)
,iecor_305-78-1,,,ʃ i f ɾ i,,IPA from Wiktionary (pt)
,iecor_305-186-1,,,k ẽ t ͡ ʃ i,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-214-1,,,k a z ɐ,,IPA from Wiktionary (pt)
,iecor_305-80-1,,,k a s a ʁ,,IPA from Wiktionary (pt)
,iecor_305-83-1,,,ʒ e l u,,IPA from Wiktionary (pt)
,iecor_305-86-1,,,m a t a ʁ,,IPA from Wiktionary (pt)
,iecor_305-87-1,,,ʒ ue ʎ u,,IPA from Wiktionary (pt)
,iecor_305-88-1,,,s a b e ʁ,,IPA from Wiktionary (pt)
,iecor_305-89-1,,,l a ɡ u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-90-1,,,ʁ i ʁ,,IPA from Wiktionary (pt)
,iecor_305-91-1,,,f o ʎ ɐ,,IPA from Wiktionary (pt)
,iecor_305-92-1,,,i s k e ʁ d u,,IPA from Wiktionary (pt)
,iecor_305-93-1,,,p ɛ ʁ n ɐ,,IPA from Wiktionary (pt)
,iecor_305-95-1,,,v i v e ʁ,,IPA from Wiktionary (pt)
,iecor_305-97-1,,,k õ p ɾ i d u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-98-1,,,p io ʎ u,,IPA from Wiktionary (pt)
,iecor_305-99-1,,,õ m ẽ j̃,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-101-1,,,k a ʁ n i,,IPA from Wiktionary (pt)
,iecor_305-102-1,,,l uɐ,,IPA from Wiktionary (pt)
,iecor_305-104-1,,,m õ t ɐ̃ ɲ ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-105-1,,,b o k ɐ,,IPA from Wiktionary (pt)
,iecor_305-49-1,,,ũ ɲ ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-106-1,,,n õ m i,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-107-1,,,i s t ɾ e j t u,,IPA from Wiktionary (pt)
,iecor_305-210-1,,,ũ b i ɡ u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-108-1,,,p ɛ ʁ t u,,IPA from Wiktionary (pt)
,iecor_305-109-1,,,p e s k o s u,,IPA from Wiktionary (pt)
,iecor_305-110-1,,,n o v u,,IPA from Wiktionary (pt)
,iecor_305-111-1,,,n o j t ͡ ʃ i,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-112-1,,,n a ɾ i s,,IPA from Wiktionary (pt)
,iecor_305-114-1,,,v ɛ ʎ u,,IPA from Wiktionary (pt)
,iecor_305-115-1,,,ũ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-118-1,,,ʒ o ɡ a ʁ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-119-1,,,p u ʃ a ʁ,,IPA from Wiktionary (pt)
,iecor_305-120-1,,,ẽ p u ʁ a ʁ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-121-1,,,ʃ u v ɐ,,IPA from Wiktionary (pt)
,iecor_305-122-1,,,v e ʁ m e ʎ u,,IPA from Wiktionary (pt)
,iecor_305-124-1,,,d ͡ ʒ i ɾ e j t u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-125-1,,,ʁ iu,,IPA from Wiktionary (pt)
,iecor_305-127-1,,,ʁ ai s,,IPA from Wiktionary (pt)
,iecor_305-129-1,,,p o d ɾ i,,IPA from Wiktionary (pt)
,iecor_305-130-1,,,ʁ e d õ d u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-219-1,,,k o ʁ e ʁ,,IPA from Wiktionary (pt)
,iecor_305-132-1,,,s a w,,IPA from Wiktionary (pt)
,iecor_305-133-1,,,a ɾ e j ɐ,,IPA from Wiktionary (pt)
,iecor_305-134-1,,,d ͡ ʒ i z e ʁ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-136-1,,,m a ʁ,,IPA from Wiktionary (pt)
,iecor_305-137-1,,,v e ʁ,,IPA from Wiktionary (pt)
,iecor_305-138-1,,,s e m ẽ t ͡ ʃ i,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-139-1,,,k o z e ʁ,,IPA from Wiktionary (pt)
,iecor_305-213-1,,,s õ b ɾ ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-140-1,,,a f ia d u,,IPA from Wiktionary (pt)
,iecor_305-141-1,,,k u ʁ t u,,IPA from Wiktionary (pt)
,iecor_305-142-1,,,k ɐ̃ t a ʁ,,IPA from Wiktionary (pt)
,iecor_305-144-1,,,p ɛ l i,,IPA from Wiktionary (pt)
,iecor_305-145-1,,,s ɛ w,,IPA from Wiktionary (pt)
,iecor_305-146-1,,,d u ʁ m i ʁ,,IPA from Wiktionary (pt)
,iecor_305-147-1,,,p i k ẽ n u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-148-1,,,ʃ e j ɾ a ʁ,,IPA from Wiktionary (pt)
,iecor_305-149-1,,,f u m a s ɐ,,IPA from Wiktionary (pt)
,iecor_305-150-1,,,l i z u,,IPA from Wiktionary (pt)
,iecor_305-151-1,,,s e ʁ p ẽ t ͡ ʃ i,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-152-1,,,n ɛ v i,,IPA from Wiktionary (pt)
,iecor_305-159-1,,,i s t ɾ e l ɐ,,IPA from Wiktionary (pt)
,iecor_305-160-1,,,p a w,,IPA from Wiktionary (pt)
,iecor_305-161-1,,,p ɛ d ɾ ɐ,,IPA from Wiktionary (pt)
,iecor_305-162-1,,,d ͡ ʒ i ɾ e j t u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-164-1,,,s ɔ w,,IPA from Wiktionary (pt)
,iecor_305-217-1,,,d o s i,,IPA from Wiktionary (pt)
,iecor_305-165-1,,,ĩ ʃ a ʁ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-166-1,,,n a d a ʁ,,IPA from Wiktionary (pt)
,iecor_305-167-1,,,ʁ a b u,,IPA from Wiktionary (pt)
,iecor_305-221-1,,,l e v a ʁ,,IPA from Wiktionary (pt)
,iecor_305-171-1,,,ɡ ɾ o s u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-209-1,,,k o ʃ ɐ,,IPA from Wiktionary (pt)
,iecor_305-173-1,,,p ẽ s a ʁ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-176-1,,,t ɾ e j s,,IPA from Wiktionary (pt)
,iecor_305-177-1,,,l ɐ̃ s a ʁ,,IPA from Wiktionary (pt)
,iecor_305-178-1,,,a m a ʁ a ʁ,,IPA from Wiktionary (pt)
,iecor_305-180-1,,,d ẽ t ͡ ʃ i,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-181-1,,,a ʁ v o ɾ i,,IPA from Wiktionary (pt)
,iecor_305-182-1,,,ʒ i ɾ a ʁ,,IPA from Wiktionary (pt)
,iecor_305-183-1,,,d o j s,,IPA from Wiktionary (pt)
,iecor_305-184-1,,,v o m i t a ʁ,,IPA from Wiktionary (pt)
,iecor_305-187-1,,,l a v a ʁ,,IPA from Wiktionary (pt)
,iecor_305-188-1,,,a ɡ w ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-190-1,,,m o ʎ a d u,,IPA from Wiktionary (pt)
,iecor_305-194-1,,,b ɾ ɐ̃ k u,,IPA from Wiktionary (pt)
,iecor_305-196-1,,,l a ʁ ɡ u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-198-1,,,v ẽ t u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-199-1,,,a z ɐ,,IPA from Wiktionary (pt)
,iecor_305-202-1,,,m u ʎ ɛ ʁ,,IPA from Wiktionary (pt)
,iecor_305-204-1,,,m ĩ ɲ ɔ k ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-206-1,,,ɐ̃ n u,,IPA from Wiktionary (pt)
,iecor_305-207-1,,,a m a ɾ ɛ l u,,IPA from Wiktionary (pt)
,iecor_305-212-1,,,õ t ẽ j̃,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
